
			matchXPmax-xp	matchSP-xp	matchSP_nonUnary-xp	matchPS_nonUnary-phi	matchPS-phi	binMinBranches-phi	binMaxBranches-phi	binMax2Words-phi	equalSistersAdj-phi	equalSistersAdj_2-phi	accentAsHead-phi	noLapseL
	((isuraeru-no (kurasumeeto-no)) pasokon)		0	1	0	0	1	1	0	1	2	1	1	1
	((isuraeru-no (kurasumeeto-no)) (pasokon))		0	1	0	0	2	2	0	1	1	0	1	0
	(((isuraeru-no) kurasumeeto-no) pasokon)		0	0	0	0	0	1	0	1	2	1	1	1
	(((isuraeru-no) kurasumeeto-no) (pasokon))		0	0	0	0	1	2	0	1	1	0	1	0
	(((isuraeru-no) (kurasumeeto-no)) pasokon)		0	0	0	0	1	2	0	1	1	1	0	1
	(((isuraeru-no) (kurasumeeto-no)) (pasokon))		0	0	0	0	2	3	0	1	0	0	0	0
	((isuraeru-no kurasumeeto-no) pasokon)		0	1	0	0	0	0	0	1	1	0	1	1
	((isuraeru-no kurasumeeto-no) (pasokon))		0	1	0	0	1	1	0	1	0	0	1	0
	(isuraeru-no kurasumeeto-no pasokon)		0	2	1	0	0	0	1	1	0	0	1	1
[[[isuraeru-no] tomodachi-no] rapputoppu]	(isuraeru-no) (tomodachi-no) (rapputoppu)		1	2	2	0	2	3	0	0	0	0	0	0
	(isuraeru-no) (tomodachi-no (rapputoppu))		1	2	2	1	2	2	0	0	1	0	0	0
	(isuraeru-no) ((tomodachi-no) rapputoppu)		1	2	2	1	2	2	0	0	1	0	1	0
	(isuraeru-no) ((tomodachi-no) (rapputoppu))		1	2	2	1	3	3	0	0	0	0	0	0
	(isuraeru-no) (tomodachi-no rapputoppu)		1	2	2	1	1	1	0	0	0	0	0	0
	(isuraeru-no (tomodachi-no)) (rapputoppu)		1	2	1	0	2	2	0	0	1	0	1	0
	((isuraeru-no) tomodachi-no) (rapputoppu)		1	1	1	0	1	2	0	0	1	0	0	1
	((isuraeru-no) (tomodachi-no)) (rapputoppu)		1	1	1	0	2	3	0	0	0	0	0	0
	(isuraeru-no tomodachi-no) (rapputoppu)		1	2	1	0	1	1	0	0	0	0	0	1
	(isuraeru-no (tomodachi-no) rapputoppu)		0	2	1	0	1	1	1	1	2	0	2	0
	(isuraeru-no (tomodachi-no) (rapputoppu))		0	2	1	0	2	2	1	1	1	0	1	0
	(isuraeru-no (tomodachi-no (rapputoppu)))		0	2	1	1	2	1	0	1	2	1	1	0
	(isuraeru-no ((tomodachi-no) rapputoppu))		0	2	1	1	2	1	0	1	2	1	2	0
	(isuraeru-no ((tomodachi-no) (rapputoppu)))		0	2	1	1	3	2	0	1	1	1	1	0
	(isuraeru-no (tomodachi-no rapputoppu))		0	2	1	1	1	0	0	1	1	0	1	0
	((isuraeru-no) tomodachi-no (rapputoppu))		0	1	1	0	1	2	1	1	2	0	0	1
	((isuraeru-no) (tomodachi-no) rapputoppu)		0	1	1	0	1	2	1	1	1	0	1	0
	((isuraeru-no) (tomodachi-no) (rapputoppu))		0	1	1	0	2	3	1	1	0	0	0	0
	((isuraeru-no) tomodachi-no rapputoppu)		0	1	1	0	0	1	1	1	1	0	1	1
	((isuraeru-no) (tomodachi-no (rapputoppu)))		0	1	1	1	2	2	0	1	1	0	0	0
	((isuraeru-no) ((tomodachi-no) rapputoppu))		0	1	1	1	2	2	0	1	1	0	1	0
	((isuraeru-no) ((tomodachi-no) (rapputoppu)))		0	1	1	1	3	3	0	1	0	0	0	0
	((isuraeru-no) (tomodachi-no rapputoppu))		0	1	1	1	1	1	0	1	0	0	0	0
	(isuraeru-no tomodachi-no (rapputoppu))		0	2	1	0	1	1	1	1	1	0	1	1
	((isuraeru-no (tomodachi-no)) rapputoppu)		0	1	0	0	1	1	0	1	2	1	2	0
	((isuraeru-no (tomodachi-no)) (rapputoppu))		0	1	0	0	2	2	0	1	1	0	1	0
	(((isuraeru-no) tomodachi-no) rapputoppu)		0	0	0	0	0	1	0	1	2	1	1	1
	(((isuraeru-no) tomodachi-no) (rapputoppu))		0	0	0	0	1	2	0	1	1	0	0	1
	(((isuraeru-no) (tomodachi-no)) rapputoppu)		0	0	0	0	1	2	0	1	1	1	1	0
	(((isuraeru-no) (tomodachi-no)) (rapputoppu))		0	0	0	0	2	3	0	1	0	0	0	0
	((isuraeru-no tomodachi-no) rapputoppu)		0	1	0	0	0	0	0	1	1	0	1	1
	((isuraeru-no tomodachi-no) (rapputoppu))		0	1	0	0	1	1	0	1	0	0	0	1
	(isuraeru-no tomodachi-no rapputoppu)		0	2	1	0	0	0	1	1	0	0	1	1
[[[isuraeru-no] tomodachi] pasokon]	(isuraeru-no) (tomodachi) (pasokon)		1	2	2	0	2	3	0	0	0	0	0	0
	(isuraeru-no) (tomodachi (pasokon))		1	2	2	1	2	2	0	0	1	0	0	0
	(isuraeru-no) ((tomodachi) pasokon)		1	2	2	1	2	2	0	0	1	0	0	0
	(isuraeru-no) ((tomodachi) (pasokon))		1	2	2	1	3	3	0	0	0	0	0	0
	(isuraeru-no) (tomodachi pasokon)		1	2	2	1	1	1	0	0	0	0	0	0
	(isuraeru-no (tomodachi)) (pasokon)		1	2	1	0	2	2	0	0	1	0	1	0
	((isuraeru-no) tomodachi) (pasokon)		1	1	1	0	1	2	0	0	1	0	0	1
	((isuraeru-no) (tomodachi)) (pasokon)		1	1	1	0	2	3	0	0	0	0	0	0
	(isuraeru-no tomodachi) (pasokon)		1	2	1	0	1	1	0	0	0	0	0	1
	(isuraeru-no (tomodachi) pasokon)		0	2	1	0	1	1	1	1	2	0	1	0
	(isuraeru-no (tomodachi) (pasokon))		0	2	1	0	2	2	1	1	1	0	1	0
	(isuraeru-no (tomodachi (pasokon)))		0	2	1	1	2	1	0	1	2	1	1	0
	(isuraeru-no ((tomodachi) pasokon))		0	2	1	1	2	1	0	1	2	1	1	0
	(isuraeru-no ((tomodachi) (pasokon)))		0	2	1	1	3	2	0	1	1	1	1	0
	(isuraeru-no (tomodachi pasokon))		0	2	1	1	1	0	0	1	1	0	1	0
	((isuraeru-no) tomodachi (pasokon))		0	1	1	0	1	2	1	1	2	0	0	1
	((isuraeru-no) (tomodachi) pasokon)		0	1	1	0	1	2	1	1	1	0	0	0
	((isuraeru-no) (tomodachi) (pasokon))		0	1	1	0	2	3	1	1	0	0	0	0
	((isuraeru-no) tomodachi pasokon)		0	1	1	0	0	1	1	1	1	0	0	2
	((isuraeru-no) (tomodachi (pasokon)))		0	1	1	1	2	2	0	1	1	0	0	0
	((isuraeru-no) ((tomodachi) pasokon))		0	1	1	1	2	2	0	1	1	0	0	0
	((isuraeru-no) ((tomodachi) (pasokon)))		0	1	1	1	3	3	0	1	0	0	0	0
	((isuraeru-no) (tomodachi pasokon))		0	1	1	1	1	1	0	1	0	0	0	0
	(isuraeru-no tomodachi (pasokon))		0	2	1	0	1	1	1	1	1	0	1	1
	((isuraeru-no (tomodachi)) pasokon)		0	1	0	0	1	1	0	1	2	1	1	0
	((isuraeru-no (tomodachi)) (pasokon))		0	1	0	0	2	2	0	1	1	0	1	0
	(((isuraeru-no) tomodachi) pasokon)		0	0	0	0	0	1	0	1	2	1	0	2
	(((isuraeru-no) tomodachi) (pasokon))		0	0	0	0	1	2	0	1	1	0	0	1
	(((isuraeru-no) (tomodachi)) pasokon)		0	0	0	0	1	2	0	1	1	1	0	0
	(((isuraeru-no) (tomodachi)) (pasokon))		0	0	0	0	2	3	0	1	0	0	0	0
	((isuraeru-no tomodachi) pasokon)		0	1	0	0	0	0	0	1	1	0	0	2
	((isuraeru-no tomodachi) (pasokon))		0	1	0	0	1	1	0	1	0	0	0	1
	(isuraeru-no tomodachi pasokon)		0	2	1	0	0	0	1	1	0	0	0	2
[[[amerika-no] kurasumeeto-no] rapputoppu]	(amerika-no) (kurasumeeto-no) (rapputoppu)		1	2	2	0	2	3	0	0	0	0	0	0
	(amerika-no) (kurasumeeto-no (rapputoppu))		1	2	2	1	2	2	0	0	1	0	1	0
	(amerika-no) ((kurasumeeto-no) rapputoppu)		1	2	2	1	2	2	0	0	1	0	1	0
	(amerika-no) ((kurasumeeto-no) (rapputoppu))		1	2	2	1	3	3	0	0	0	0	0	0
	(amerika-no) (kurasumeeto-no rapputoppu)		1	2	2	1	1	1	0	0	0	0	1	0
	(amerika-no (kurasumeeto-no)) (rapputoppu)		1	2	1	0	2	2	0	0	1	0	0	0
	((amerika-no) kurasumeeto-no) (rapputoppu)		1	1	1	0	1	2	0	0	1	0	1	0
	((amerika-no) (kurasumeeto-no)) (rapputoppu)		1	1	1	0	2	3	0	0	0	0	0	0
	(amerika-no kurasumeeto-no) (rapputoppu)		1	2	1	0	1	1	0	0	0	0	0	0
	(amerika-no (kurasumeeto-no) rapputoppu)		0	2	1	0	1	1	1	1	2	0	1	0
	(amerika-no (kurasumeeto-no) (rapputoppu))		0	2	1	0	2	2	1	1	1	0	0	0
	(amerika-no (kurasumeeto-no (rapputoppu)))		0	2	1	1	2	1	0	1	2	1	1	0
	(amerika-no ((kurasumeeto-no) rapputoppu))		0	2	1	1	2	1	0	1	2	1	1	0
	(amerika-no ((kurasumeeto-no) (rapputoppu)))		0	2	1	1	3	2	0	1	1	1	0	0
	(amerika-no (kurasumeeto-no rapputoppu))		0	2	1	1	1	0	0	1	1	0	1	0
	((amerika-no) kurasumeeto-no (rapputoppu))		0	1	1	0	1	2	1	1	2	0	1	0
	((amerika-no) (kurasumeeto-no) rapputoppu)		0	1	1	0	1	2	1	1	1	0	1	0
	((amerika-no) (kurasumeeto-no) (rapputoppu))		0	1	1	0	2	3	1	1	0	0	0	0
	((amerika-no) kurasumeeto-no rapputoppu)		0	1	1	0	0	1	1	1	1	0	2	0
	((amerika-no) (kurasumeeto-no (rapputoppu)))		0	1	1	1	2	2	0	1	1	0	1	0
	((amerika-no) ((kurasumeeto-no) rapputoppu))		0	1	1	1	2	2	0	1	1	0	1	0
	((amerika-no) ((kurasumeeto-no) (rapputoppu)))		0	1	1	1	3	3	0	1	0	0	0	0
	((amerika-no) (kurasumeeto-no rapputoppu))		0	1	1	1	1	1	0	1	0	0	1	0
	(amerika-no kurasumeeto-no (rapputoppu))		0	2	1	0	1	1	1	1	1	0	1	0
	((amerika-no (kurasumeeto-no)) rapputoppu)		0	1	0	0	1	1	0	1	2	1	1	0
	((amerika-no (kurasumeeto-no)) (rapputoppu))		0	1	0	0	2	2	0	1	1	0	0	0
	(((amerika-no) kurasumeeto-no) rapputoppu)		0	0	0	0	0	1	0	1	2	1	2	0
	(((amerika-no) kurasumeeto-no) (rapputoppu))		0	0	0	0	1	2	0	1	1	0	1	0
	(((amerika-no) (kurasumeeto-no)) rapputoppu)		0	0	0	0	1	2	0	1	1	1	1	0
	(((amerika-no) (kurasumeeto-no)) (rapputoppu))		0	0	0	0	2	3	0	1	0	0	0	0
	((amerika-no kurasumeeto-no) rapputoppu)		0	1	0	0	0	0	0	1	1	0	1	0
	((amerika-no kurasumeeto-no) (rapputoppu))		0	1	0	0	1	1	0	1	0	0	0	0
	(amerika-no kurasumeeto-no rapputoppu)		0	2	1	0	0	0	1	1	0	0	1	0
[[[amerika-no] kurasumeeto-no] pasokon]	(amerika-no) (kurasumeeto-no) (pasokon)		1	2	2	0	2	3	0	0	0	0	0	0
	(amerika-no) (kurasumeeto-no (pasokon))		1	2	2	1	2	2	0	0	1	0	1	0
	(amerika-no) ((kurasumeeto-no) pasokon)		1	2	2	1	2	2	0	0	1	0	0	1
	(amerika-no) ((kurasumeeto-no) (pasokon))		1	2	2	1	3	3	0	0	0	0	0	0
	(amerika-no) (kurasumeeto-no pasokon)		1	2	2	1	1	1	0	0	0	0	0	1
	(amerika-no (kurasumeeto-no)) (pasokon)		1	2	1	0	2	2	0	0	1	0	0	0
	((amerika-no) kurasumeeto-no) (pasokon)		1	1	1	0	1	2	0	0	1	0	1	0
	((amerika-no) (kurasumeeto-no)) (pasokon)		1	1	1	0	2	3	0	0	0	0	0	0
	(amerika-no kurasumeeto-no) (pasokon)		1	2	1	0	1	1	0	0	0	0	0	0
	(amerika-no (kurasumeeto-no) pasokon)		0	2	1	0	1	1	1	1	2	0	0	1
	(amerika-no (kurasumeeto-no) (pasokon))		0	2	1	0	2	2	1	1	1	0	0	0
	(amerika-no (kurasumeeto-no (pasokon)))		0	2	1	1	2	1	0	1	2	1	1	0
	(amerika-no ((kurasumeeto-no) pasokon))		0	2	1	1	2	1	0	1	2	1	0	1
	(amerika-no ((kurasumeeto-no) (pasokon)))		0	2	1	1	3	2	0	1	1	1	0	0
	(amerika-no (kurasumeeto-no pasokon))		0	2	1	1	1	0	0	1	1	0	0	1
	((amerika-no) kurasumeeto-no (pasokon))		0	1	1	0	1	2	1	1	2	0	1	0
	((amerika-no) (kurasumeeto-no) pasokon)		0	1	1	0	1	2	1	1	1	0	0	1
	((amerika-no) (kurasumeeto-no) (pasokon))		0	1	1	0	2	3	1	1	0	0	0	0
	((amerika-no) kurasumeeto-no pasokon)		0	1	1	0	0	1	1	1	1	0	1	1
	((amerika-no) (kurasumeeto-no (pasokon)))		0	1	1	1	2	2	0	1	1	0	1	0
	((amerika-no) ((kurasumeeto-no) pasokon))		0	1	1	1	2	2	0	1	1	0	0	1
	((amerika-no) ((kurasumeeto-no) (pasokon)))		0	1	1	1	3	3	0	1	0	0	0	0
	((amerika-no) (kurasumeeto-no pasokon))		0	1	1	1	1	1	0	1	0	0	0	1
	(amerika-no kurasumeeto-no (pasokon))		0	2	1	0	1	1	1	1	1	0	1	0
	((amerika-no (kurasumeeto-no)) pasokon)		0	1	0	0	1	1	0	1	2	1	0	1
	((amerika-no (kurasumeeto-no)) (pasokon))		0	1	0	0	2	2	0	1	1	0	0	0
	(((amerika-no) kurasumeeto-no) pasokon)		0	0	0	0	0	1	0	1	2	1	1	1
	(((amerika-no) kurasumeeto-no) (pasokon))		0	0	0	0	1	2	0	1	1	0	1	0
	(((amerika-no) (kurasumeeto-no)) pasokon)		0	0	0	0	1	2	0	1	1	1	0	1
	(((amerika-no) (kurasumeeto-no)) (pasokon))		0	0	0	0	2	3	0	1	0	0	0	0
	((amerika-no kurasumeeto-no) pasokon)		0	1	0	0	0	0	0	1	1	0	0	1
	((amerika-no kurasumeeto-no) (pasokon))		0	1	0	0	1	1	0	1	0	0	0	0
	(amerika-no kurasumeeto-no pasokon)		0	2	1	0	0	0	1	1	0	0	0	1
[[[amerika-no] tomodachi-no] rapputoppu]	(amerika-no) (tomodachi-no) (rapputoppu)		1	2	2	0	2	3	0	0	0	0	0	0
	(amerika-no) (tomodachi-no (rapputoppu))		1	2	2	1	2	2	0	0	1	0	0	0
	(amerika-no) ((tomodachi-no) rapputoppu)		1	2	2	1	2	2	0	0	1	0	1	0
	(amerika-no) ((tomodachi-no) (rapputoppu))		1	2	2	1	3	3	0	0	0	0	0	0
	(amerika-no) (tomodachi-no rapputoppu)		1	2	2	1	1	1	0	0	0	0	0	0
	(amerika-no (tomodachi-no)) (rapputoppu)		1	2	1	0	2	2	0	0	1	0	0	0
	((amerika-no) tomodachi-no) (rapputoppu)		1	1	1	0	1	2	0	0	1	0	0	0
	((amerika-no) (tomodachi-no)) (rapputoppu)		1	1	1	0	2	3	0	0	0	0	0	0
	(amerika-no tomodachi-no) (rapputoppu)		1	2	1	0	1	1	0	0	0	0	0	0
	(amerika-no (tomodachi-no) rapputoppu)		0	2	1	0	1	1	1	1	2	0	1	0
	(amerika-no (tomodachi-no) (rapputoppu))		0	2	1	0	2	2	1	1	1	0	0	0
	(amerika-no (tomodachi-no (rapputoppu)))		0	2	1	1	2	1	0	1	2	1	0	0
	(amerika-no ((tomodachi-no) rapputoppu))		0	2	1	1	2	1	0	1	2	1	1	0
	(amerika-no ((tomodachi-no) (rapputoppu)))		0	2	1	1	3	2	0	1	1	1	0	0
	(amerika-no (tomodachi-no rapputoppu))		0	2	1	1	1	0	0	1	1	0	0	0
	((amerika-no) tomodachi-no (rapputoppu))		0	1	1	0	1	2	1	1	2	0	0	0
	((amerika-no) (tomodachi-no) rapputoppu)		0	1	1	0	1	2	1	1	1	0	1	0
	((amerika-no) (tomodachi-no) (rapputoppu))		0	1	1	0	2	3	1	1	0	0	0	0
	((amerika-no) tomodachi-no rapputoppu)		0	1	1	0	0	1	1	1	1	0	1	0
	((amerika-no) (tomodachi-no (rapputoppu)))		0	1	1	1	2	2	0	1	1	0	0	0
	((amerika-no) ((tomodachi-no) rapputoppu))		0	1	1	1	2	2	0	1	1	0	1	0
	((amerika-no) ((tomodachi-no) (rapputoppu)))		0	1	1	1	3	3	0	1	0	0	0	0
	((amerika-no) (tomodachi-no rapputoppu))		0	1	1	1	1	1	0	1	0	0	0	0
	(amerika-no tomodachi-no (rapputoppu))		0	2	1	0	1	1	1	1	1	0	0	0
	((amerika-no (tomodachi-no)) rapputoppu)		0	1	0	0	1	1	0	1	2	1	1	0
	((amerika-no (tomodachi-no)) (rapputoppu))		0	1	0	0	2	2	0	1	1	0	0	0
	(((amerika-no) tomodachi-no) rapputoppu)		0	0	0	0	0	1	0	1	2	1	1	0
	(((amerika-no) tomodachi-no) (rapputoppu))		0	0	0	0	1	2	0	1	1	0	0	0
	(((amerika-no) (tomodachi-no)) rapputoppu)		0	0	0	0	1	2	0	1	1	1	1	0
	(((amerika-no) (tomodachi-no)) (rapputoppu))		0	0	0	0	2	3	0	1	0	0	0	0
	((amerika-no tomodachi-no) rapputoppu)		0	1	0	0	0	0	0	1	1	0	1	0
	((amerika-no tomodachi-no) (rapputoppu))		0	1	0	0	1	1	0	1	0	0	0	0
	(amerika-no tomodachi-no rapputoppu)		0	2	1	0	0	0	1	1	0	0	0	0
[[[amerika-no] tomodachi-no] pasokon]	(amerika-no) (tomodachi-no) (pasokon)		1	2	2	0	2	3	0	0	0	0	0	0
	(amerika-no) (tomodachi-no (pasokon))		1	2	2	1	2	2	0	0	1	0	0	0
	(amerika-no) ((tomodachi-no) pasokon)		1	2	2	1	2	2	0	0	1	0	0	0
	(amerika-no) ((tomodachi-no) (pasokon))		1	2	2	1	3	3	0	0	0	0	0	0
	(amerika-no) (tomodachi-no pasokon)		1	2	2	1	1	1	0	0	0	0	0	0
	(amerika-no (tomodachi-no)) (pasokon)		1	2	1	0	2	2	0	0	1	0	0	0
	((amerika-no) tomodachi-no) (pasokon)		1	1	1	0	1	2	0	0	1	0	0	0
	((amerika-no) (tomodachi-no)) (pasokon)		1	1	1	0	2	3	0	0	0	0	0	0
	(amerika-no tomodachi-no) (pasokon)		1	2	1	0	1	1	0	0	0	0	0	0
	(amerika-no (tomodachi-no) pasokon)		0	2	1	0	1	1	1	1	2	0	0	0
	(amerika-no (tomodachi-no) (pasokon))		0	2	1	0	2	2	1	1	1	0	0	0
	(amerika-no (tomodachi-no (pasokon)))		0	2	1	1	2	1	0	1	2	1	0	0
	(amerika-no ((tomodachi-no) pasokon))		0	2	1	1	2	1	0	1	2	1	0	0
	(amerika-no ((tomodachi-no) (pasokon)))		0	2	1	1	3	2	0	1	1	1	0	0
	(amerika-no (tomodachi-no pasokon))		0	2	1	1	1	0	0	1	1	0	0	0
	((amerika-no) tomodachi-no (pasokon))		0	1	1	0	1	2	1	1	2	0	0	0
	((amerika-no) (tomodachi-no) pasokon)		0	1	1	0	1	2	1	1	1	0	0	0
	((amerika-no) (tomodachi-no) (pasokon))		0	1	1	0	2	3	1	1	0	0	0	0
	((amerika-no) tomodachi-no pasokon)		0	1	1	0	0	1	1	1	1	0	0	0
	((amerika-no) (tomodachi-no (pasokon)))		0	1	1	1	2	2	0	1	1	0	0	0
	((amerika-no) ((tomodachi-no) pasokon))		0	1	1	1	2	2	0	1	1	0	0	0
	((amerika-no) ((tomodachi-no) (pasokon)))		0	1	1	1	3	3	0	1	0	0	0	0
	((amerika-no) (tomodachi-no pasokon))		0	1	1	1	1	1	0	1	0	0	0	0
	(amerika-no tomodachi-no (pasokon))		0	2	1	0	1	1	1	1	1	0	0	0
	((amerika-no (tomodachi-no)) pasokon)		0	1	0	0	1	1	0	1	2	1	0	0
	((amerika-no (tomodachi-no)) (pasokon))		0	1	0	0	2	2	0	1	1	0	0	0
	(((amerika-no) tomodachi-no) pasokon)		0	0	0	0	0	1	0	1	2	1	0	0
	(((amerika-no) tomodachi-no) (pasokon))		0	0	0	0	1	2	0	1	1	0	0	0
	(((amerika-no) (tomodachi-no)) pasokon)		0	0	0	0	1	2	0	1	1	1	0	0
	(((amerika-no) (tomodachi-no)) (pasokon))		0	0	0	0	2	3	0	1	0	0	0	0
	((amerika-no tomodachi-no) pasokon)		0	1	0	0	0	0	0	1	1	0	0	0
	((amerika-no tomodachi-no) (pasokon))		0	1	0	0	1	1	0	1	0	0	0	0
	(amerika-no tomodachi-no pasokon)		0	2	1	0	0	0	1	1	0	0	0	0
